,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,31,69,89,47.90091458359614,53.591543883101956,46.28997123164288,53.591543883101956,173.26324207221262,3.146266212467641,0.11668121349301207,2000-03-10,2000-03-30,20 days,
1,23,122,157,64.13495971675977,68.40536066974727,58.9209586635297,67.95779734023567,95.17079454982286,3.0484273688896617,0.06451802029462714,2000-05-02,2000-06-06,35 days,
2,20,176,180,74.5950276838369,83.44864386819928,71.30261053811238,82.67884218780057,173.91145025620688,3.1608734310407236,0.11657040399080763,2000-06-25,2000-06-29,4 days,
3,19,181,182,82.33188981444385,79.8442849806511,,92.51798273617425,-50.34583916316922,3.081347321106804,-0.032184139275313814,2000-06-30,2000-07-01,1 days,
4,17,215,223,91.09681605022442,85.17392648597722,,99.98719409817308,-103.68572521531782,2.996602623115428,-0.06695250801543653,2000-08-03,2000-08-11,8 days,
5,-21,250,253,73.3463163150957,80.12998263004465,,67.16591034183126,-145.6799948917758,3.2230022778479475,-0.09458065465881238,2000-09-07,2000-09-10,3 days,
6,-24,273,348,62.745953171745086,52.79762730228656,67.21199595598533,52.90250261300469,235.98677493562792,2.7730459313767595,0.15670783201062705,2000-09-30,2000-12-14,75 days,
7,-29,357,363,53.53118712958003,56.396822972617976,56.396822972617976,47.948695275029934,-86.29135174106409,3.187912292963743,-0.055585613035955175,2000-12-23,2000-12-29,6 days,
8,24,375,383,62.65278728123311,60.53315993378033,,69.69889555985391,-53.82751907202697,2.956462733160323,-0.035797502265946274,2001-01-10,2001-01-18,8 days,
9,-25,386,387,60.641336605689204,63.68612274100056,63.68612274100056,50.58756432467076,-79.22783986645112,3.108186483667244,-0.052259956195634484,2001-01-21,2001-01-22,1 days,
10,24,390,419,63.34579492940091,72.93009206176808,61.08776145218429,72.93009206176808,226.752509889024,3.270621287788056,0.14914993577562413,2001-01-25,2001-02-23,29 days,
11,17,425,449,87.66211692426954,79.61014277840287,,95.33999297714136,-139.72718889467876,2.843628414945431,-0.09376052842381005,2001-03-01,2001-03-25,24 days,
12,-19,534,601,78.46043761238768,69.30868518986931,83.92157047984804,69.30868518986931,171.07568269460617,2.807613333242883,0.11475826000611708,2001-06-18,2001-08-24,67 days,
