,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,458,33708,33723,2.180242025267324,2.1738970278755305,2.1738970278755305,2.1893833735314865,-3.304847942709311,0.3988391372678855,-0.003309644121522385,2023-11-05 12:00:00,2023-11-06 03:00:00,0 days 15:00:00,
1,458,33742,33743,2.1809163360210193,2.1785603992096854,2.1785603992096854,2.1940467448656413,-1.4783471285380805,0.3993280689471326,-0.001480034839057177,2023-11-06 22:00:00,2023-11-06 23:00:00,0 days 01:00:00,
2,457,33752,33758,2.186013932046732,2.1938420721226555,2.1783557264666995,2.1938420721226555,3.177141175916047,0.400318838781082,0.0031802948614242247,2023-11-07 08:00:00,2023-11-07 14:00:00,0 days 06:00:00,
3,456,33759,33764,2.187852139015756,2.1832844815757966,2.1832844815757966,2.1987708272317525,-2.481499452419514,0.39864765979794964,-0.0024873183461685397,2023-11-07 15:00:00,2023-11-07 20:00:00,0 days 05:00:00,
4,456,33769,33769,2.188306315424528,2.1846622204269552,2.1846622204269552,2.200148566082911,-2.0605220493628975,0.3988147304696553,-0.0020649251308615755,2023-11-08 01:00:00,2023-11-08 01:00:00,0 days 00:00:00,
5,457,33776,33779,2.183128060031564,2.1781310509134473,2.1781310509134473,2.1936173965694032,-2.682252249719773,0.39861908274037405,-0.002688463882517759,2023-11-08 08:00:00,2023-11-08 11:00:00,0 days 03:00:00,
6,457,33782,33784,2.183249397145507,2.1779026729077944,2.1779026729077944,2.1933890185637503,-2.8420622758376046,0.3986092992028718,-0.0028484856837035382,2023-11-08 14:00:00,2023-11-08 16:00:00,0 days 02:00:00,
7,457,33795,33798,2.183767437142831,2.1773723031070986,2.1773723031070986,2.1928586487630546,-3.321184426588468,0.3986081722588436,-0.003327901066832719,2023-11-09 03:00:00,2023-11-09 06:00:00,0 days 03:00:00,
8,458,33804,33805,2.179002533217204,2.176405749379726,2.176405749379726,2.191892095035682,-1.5882823962506354,0.3989553986858788,-0.0015914921810012167,2023-11-09 12:00:00,2023-11-09 13:00:00,0 days 01:00:00,
9,457,33809,33814,2.1819993531298714,2.192593597889358,2.177107252233402,2.192593597889358,4.441732059362251,0.3998377957231576,0.004454321288107241,2023-11-09 17:00:00,2023-11-09 22:00:00,0 days 05:00:00,
10,458,33834,33836,2.17974566477261,2.176593227099913,2.176593227099913,2.192079572755869,-1.8428570965906552,0.3990406424955231,-0.0018459518080936035,2023-11-10 18:00:00,2023-11-10 20:00:00,0 days 02:00:00,
11,457,33837,33838,2.182358184513023,2.18927482448714,2.173788478831184,2.18927482448714,2.7613372111489354,0.3995672570226149,0.0027687083702374097,2023-11-10 21:00:00,2023-11-10 22:00:00,0 days 01:00:00,
12,455,33852,33858,2.193336126914452,2.1864012649737954,2.1864012649737954,2.2018876106297514,-3.553918285660493,0.3985561026618305,-0.0035611547738568657,2023-11-11 12:00:00,2023-11-11 18:00:00,0 days 06:00:00,
13,455,33860,33865,2.192938427802885,2.1874067010643103,2.1874067010643103,2.2028930467202663,-2.91554707277836,0.3986114067269148,-0.002922013533580178,2023-11-11 20:00:00,2023-11-12 01:00:00,0 days 05:00:00,
14,454,33866,33870,2.194619903958369,2.189057195696094,2.189057195696094,2.20454354135205,-2.923507431721428,0.3980378806486252,-0.002934195425180987,2023-11-12 02:00:00,2023-11-12 06:00:00,0 days 04:00:00,
15,454,33877,33881,2.195979795374691,2.1894972830095267,2.1894972830095267,2.2049836286654827,-3.3412619325018214,0.398201318717287,-0.003351400498466444,2023-11-12 13:00:00,2023-11-12 17:00:00,0 days 04:00:00,
