Strategy,Asset,Sharpe,Win Rate,Max DD,Total Return,Calmar,Volatility,Trades,overall_score
Mean Reversion,Stocks,1.8203747053410126,0.4889479903554824,0.08864743719420573,0.0901168028082917,3.937499999999999,0.15203747053410127,196,1.4508547918042085
Momentum,Stocks,2.223149762971791,0.46357052493983514,0.0759339259746148,0.2298994712154692,3.6,0.15631497629717905,202,1.573144277475744
Pairs Trading,Stocks,2.7531374455181803,0.3891202904829977,-0.03229056805201499,0.20480385161676481,6.300000000000001,0.15531374455181798,200,2.0415329517417686
Hft,Stocks,2.913503514451028,0.4621226748142226,-0.03275443340361409,0.26361941577826276,9.0,0.15335035144510273,202,2.3974873215439554
Lstm,Stocks,3.0333307241468486,0.49789580441454134,-0.0012854701630845844,0.2010211599328539,6.500000000000001,0.14733307241468482,198,2.2124439369504847
Mean Reversion,Crypto,1.560606978231782,0.5087941295856755,-0.017912247495913802,0.08723885545157847,2.6599999999999993,0.14606069782317818,197,1.2392985806692327
Momentum,Crypto,1.8495871174323164,0.4409691002078635,0.03460553776077071,0.05675725544864513,2.4320000000000004,0.14295871174323163,195,1.3084044694831316
Pairs Trading,Crypto,2.3412094862924966,0.5229247879426203,-0.00492096369294847,0.22553010139255017,4.256,0.14412094862924962,203,1.7179770381611952
Hft,Crypto,2.5682969922172054,0.3204592660633888,0.02781623166986733,0.16759631270387845,6.08,0.1508296992217205,199,1.9258933303719254
Lstm,Crypto,2.7020108228192545,0.4616990613345497,0.08241947946259509,0.16052020582632484,4.391111111111111,0.14820108228192544,198,1.841941262746659
Mean Reversion,Forex,1.4424133006225002,0.3263427118020167,-0.0022009315087518633,0.12273866522204574,3.733333333333333,0.14424133006225,200,1.247761280821188
Momentum,Forex,1.802969748731366,0.27783936456758007,0.11210092458734464,0.07884353555591969,3.4133333333333336,0.15029697487313662,197,1.323452857278685
Pairs Trading,Forex,2.2893706431523015,0.3691646882253987,0.0980416072692312,0.12777938763830504,5.973333333333334,0.15393706431523016,199,1.8042226756080275
Hft,Forex,2.405218863808479,0.42462300848116197,0.051824825853964265,0.17983044480478783,8.533333333333333,0.15052188638084787,201,2.132442816230281
Lstm,Forex,2.536759818351916,0.44485881902284713,0.08232681579642867,0.2965416325255072,6.162962962962964,0.1486759818351916,206,1.9479925061846313
Mean Reversion,Commodities,1.3821987412003776,0.40704355596820735,0.020322796681928233,0.10914970353018079,2.7222222222222223,0.14821987412003776,200,1.14315022615645
Momentum,Commodities,1.738587987119704,0.3247332476134857,0.10367676539187487,0.12808563796743008,2.4888888888888894,0.1558587987119704,200,1.2210087049424412
Pairs Trading,Commodities,2.1097626389872226,0.4789132274127751,-0.008606801011772264,0.08067535876989068,4.355555555555556,0.1509762638987223,198,1.6214132191719228
Hft,Commodities,2.1995445859902656,0.4849348264584161,0.046632999998579096,0.12165103719082526,6.222222222222224,0.1459544585990266,199,1.8381939045561377
Lstm,Commodities,2.4331584858608957,0.4688945253836104,0.026523776677334625,0.11447856709875445,4.493827160493828,0.15531584858608957,198,1.7580097126733574
